step,C_memless,C_memful,D_memless,D_memful,M_local,mu_purity
1.700000000000000000e+01,1.900624178632733141e+00,1.664950364290741502e+00,8.434325407277891706e-01,2.717240357313463472e-01,2.331280460561103995e-02,7.996435792291315403e-01
1.800000000000000000e+01,2.012425600905246803e+00,1.752873668685096531e+00,8.121164937384039995e-01,2.329885248914609353e-01,2.223029379883875722e-02,7.951403002351205007e-01
1.900000000000000000e+01,2.124227023177760465e+00,1.840185036798462015e+00,7.745118433662377955e-01,2.140451996514919353e-01,2.119804848631205371e-02,7.910455236351058295e-01
2.000000000000000000e+01,2.236028445450274127e+00,1.926936231225433449e+00,7.318636032410007486e-01,2.192361088734741670e-01,2.021373463132734513e-02,7.873221932590439565e-01
2.100000000000000000e+01,2.347829867722787789e+00,2.013174908139914177e+00,6.856472906104045251e-01,2.442306900326925989e-01,1.927512657621133912e-02,7.839366143707240386e-01
2.200000000000000000e+01,2.459631289995301451e+00,2.098944894113623505e+00,6.376156153231729018e-01,2.799931933556996100e-01,1.838010200979863298e-02,7.808581487313402958e-01
2.300000000000000000e+01,2.571432712267815113e+00,2.184286485394353328e+00,5.898555752342180547e-01,3.187993604110548329e-01,1.752663716856283152e-02,7.780589373112634100e-01
2.400000000000000000e+01,2.683234134540328775e+00,2.269236659494141772e+00,5.448382845775334715e-01,3.556593788238168741e-01,1.671280226052455908e-02,7.755136481287574490e-01
2.500000000000000000e+01,2.795035556812842437e+00,2.353829351556893990e+00,5.054111211845304652e-01,3.875859828469235269e-01,1.593675710154358882e-02,7.731992469099411291e-01
2.600000000000000000e+01,2.906836979085356099e+00,2.438095670340931775e+00,4.746313590515106595e-01,4.128441188088135538e-01,1.519674695403937584e-02,7.710947884471077707e-01
2.700000000000000000e+01,3.018638401357869760e+00,2.522064124815950326e+00,4.553185602328368997e-01,4.305135420123542001e-01,1.449109855856207073e-02,7.691812266725222003e-01
2.800000000000000000e+01,3.130439823630383422e+00,2.605760813759836481e+00,4.493306183949991039e-01,4.402585623223468914e-01,1.381821634891883255e-02,7.674412415396196785e-01
2.900000000000000000e+01,3.242241245902897084e+00,2.689209510652927015e+00,4.568909074727802722e-01,4.422056031913656482e-01,1.317657884168392177e-02,7.658590807666992850e-01
3.000000000000000000e+01,3.354042668175410746e+00,2.772432282059786868e+00,4.764702520016393938e-01,4.368752684145862930e-01,1.256473519075842864e-02,7.644204142551389580e-01
3.100000000000000000e+01,3.465844090447924408e+00,2.855448986091392971e+00,5.053449336109538947e-01,4.251434215830459662e-01,1.198130189696196453e-02,7.631121983542817899e-01
3.200000000000000000e+01,3.577645512720438070e+00,2.938277876869052285e+00,5.404019867840608171e-01,4.082190150726693334e-01,1.142495966098128375e-02,7.619225457261479262e-01
3.300000000000000000e+01,3.689446934992951732e+00,3.020935625284333792e+00,5.787318076824254920e-01,3.876307265350569242e-01,1.089445036454341625e-02,7.608405935994253522e-01
3.400000000000000000e+01,3.801248357265465394e+00,3.103437457170578728e+00,6.178897327908113857e-01,3.652113402922304020e-01,1.038857415794355865e-02,7.598563571623536683e-01
3.500000000000000000e+01,3.913049779537979056e+00,3.185797262009886222e+00,6.559348799409500108e-01,3.430566351095148403e-01,9.906186619682523162e-03,7.589605426655169351e-01
3.600000000000000000e+01,4.024851201810492718e+00,3.268027782554762339e+00,6.913743352887664617e-01,3.234141260348232794e-01,9.446195933368064374e-03,7.581442703651974924e-01
3.700000000000000000e+01,4.136652624083006380e+00,3.350140636685624340e+00,7.230867061156940334e-01,3.084408381170890001e-01,9.007560001287223325e-03,7.573986084959845044e-01
3.800000000000000000e+01,4.248454046355520042e+00,3.432146509930845912e+00,7.502542772443623331e-01,2.998048948045509698e-01,8.589283422696734893e-03,7.567137215568512376e-01
3.900000000000000000e+01,4.360255468628033704e+00,3.514055302449581308e+00,7.723107194204765769e-01,2.982404813388991882e-01,8.190414524411044131e-03,7.560772404663264057e-01
4.000000000000000000e+01,4.472056890900547366e+00,3.595876384493983391e+00,7.889030792667137693e-01,3.033156473844422774e-01,7.810044146517068804e-03,7.554710710796948003e-01
