Gamma_x,Gamma_y,Gamma_z,mkc_gap
6.039611517293660414e-01,4.221881958112296829e-01,7.692918174816628651e-01,1.284287650294663186e-01
9.568432398187349808e-01,8.943776292280267715e-01,1.703999933270638367e+00,7.361046788806180352e-02
1.204187610187346991e+00,6.620612276895410098e-01,1.321408021956066658e+00,2.724204079604106710e-01
1.675983607071083181e+00,1.364068368834865375e+00,1.637723992100118764e+00,6.629043769319502566e-01
2.000823937434099253e+00,1.087966277378113578e+00,1.276412972530686307e+00,1.817776562373505378e-01
1.141576548567283078e+00,1.410807783049428110e+00,1.121424851096471498e+00,4.260968083071632329e-01
3.593606185994662194e-01,6.758621303753993281e-01,6.718656125668897028e-01,1.776820503954783526e-01
5.624851846452011417e-01,4.174368904965738425e-01,3.301698388230712711e-01,9.256077233722204145e-02
1.438019957009075034e+00,1.501962744411951434e+00,1.489932192192223059e+00,7.129947023946732187e-01
6.414863144646145710e-01,1.484657116487619444e+00,1.143890595496406037e+00,1.503598967367003603e-01
6.571722399640513856e-01,2.633812814119667056e-01,6.577510902103489432e-01,1.314012155828345740e-01
6.532044206327906055e-01,6.092310283053266051e-01,2.778928547628828905e-01,1.169597312177095283e-01
1.267513887683560103e+00,1.825695323484973098e+00,1.292218490163633993e+00,3.670185271811106098e-01
9.600265934753600128e-01,8.974687467765658511e-01,6.837816139027967921e-01,3.106118836020013152e-01
1.277637137635283526e+00,8.439195093394054048e-01,6.876719892333396089e-01,1.269771804687307437e-01
1.073048748277930953e+00,1.964409444378431235e+00,1.101653270312485278e+00,1.051462871059922755e-01
8.101257575492017970e-01,8.000619485414119936e-01,1.411671680504508419e+00,9.925801279305268565e-02
1.035617932280852305e+00,1.734574103264981071e+00,1.422368483692618479e+00,3.617061563542447455e-01
1.833332807113627450e+00,1.402448007739895308e+00,1.760495775608899915e+00,6.648054881175835540e-01
1.117406319722259456e+00,1.998092856560147013e+00,1.499263184473172528e+00,3.092883238176424854e-01
1.403741704525439005e+00,1.477161672757036914e+00,1.344823274422509485e+00,6.357016530954555655e-01
1.214958049425409303e+00,1.462919939214075926e+00,1.109414303499787424e+00,4.307262068555604007e-01
1.160935824822732165e+00,7.020074587819439271e-01,7.323967033538492100e-01,1.367341686565306524e-01
1.516088808905108554e+00,1.104453641313184020e+00,9.863296265269668739e-01,2.873472294675210037e-01
4.964489219533489428e-01,2.969644967779150324e-01,5.695150886765688591e-01,1.119491650273475303e-01
4.408596638249226984e-01,1.038814379166813406e+00,8.674618531931631571e-01,1.347535689256362801e-01
6.422847774299189627e-01,6.377884194993848066e-01,1.123543741140545338e+00,7.826472789437910471e-02
1.054406834269973725e+00,1.886464419957170957e+00,1.445737975334223435e+00,3.068401948235131016e-01
1.180286389637601463e+00,7.469464067252762352e-01,1.028859655822275343e+00,2.977598364549751686e-01
1.310432455519265460e+00,1.129690836387208686e+00,9.998621936864542370e-01,4.095602872771986203e-01
1.190218255790798985e+00,1.085454979343612125e+00,1.572553668491002199e+00,3.515597833217043444e-01
7.528598041659969597e-01,5.652313833118660646e-01,4.801463377559999079e-01,1.462589584509345064e-01
9.217498582030813070e-01,1.145617134753277533e+00,1.265239697513502959e+00,4.010636477214279960e-01
8.996710238072906929e-01,3.216485277378726138e-01,8.861781895644679219e-01,1.540778467475250046e-01
1.601291431190338566e+00,1.402392185812216585e+00,1.478095620462207993e+00,6.395981875420433393e-01
1.584399004027262636e+00,1.356760582166818718e+00,6.781923091082273647e-01,2.252769436238917233e-01
1.373593671654079529e+00,6.915291878509943757e-01,9.726586214649097784e-01,1.452970688309123126e-01
6.803060577572070944e-01,9.352541928457711595e-01,1.248378077570495570e+00,1.835910865162413419e-01
1.089376048114201856e+00,1.734671937559138843e+00,7.394608736743137900e-01,4.708249211468817919e-02
1.136887774805445339e+00,1.629868282287182835e+00,1.440102652856996901e+00,4.735610726876295917e-01
1.267137940384708061e+00,7.426200084213724351e-01,1.828322785786390181e+00,9.071758150984510216e-02
1.465547627599616654e+00,1.338714514004192280e+00,8.974591022786747585e-01,3.853129943416253589e-01
5.846624905694586261e-01,9.403776662931668806e-01,1.417913274176624272e+00,5.356344134300061732e-02
6.873321333092154983e-01,9.671158003597712938e-01,1.303446264904309704e+00,1.755008343823385442e-01
9.515159184527270941e-01,1.167394502671045498e+00,1.328051922127141848e+00,3.954292494983155937e-01
9.714465339793004750e-01,6.795081884992190124e-01,9.963638895257289629e-01,3.272954164763952623e-01
1.726873293879626070e+00,1.090406311838391984e+00,1.628891854267988659e+00,4.962124361133770645e-01
1.748750485137096744e+00,1.438138859119371560e+00,9.786986769496974770e-01,3.340435254659863684e-01
